Date,CO,O3
03-Dec-15,n/a,13
04-Dec-15,n/a,n/a
05-Dec-15,n/a,14
06-Dec-15,n/a,16
07-Dec-15,n/a,n/a
08-Dec-15,n/a,n/a
09-Dec-15,n/a,n/a
10-Dec-15,n/a,n/a
11-Dec-15,n/a,13
12-Dec-15,n/a,n/a
13-Dec-15,n/a,11
14-Dec-15,n/a,n/a
15-Dec-15,n/a,n/a
16-Dec-15,n/a,6
17-Dec-15,n/a,n/a
18-Dec-15,n/a,n/a
19-Dec-15,n/a,n/a
20-Dec-15,n/a,n/a
21-Dec-15,n/a,21
22-Dec-15,n/a,17
23-Dec-15,n/a,18
24-Dec-15,n/a,19
25-Dec-15,n/a,n/a
26-Dec-15,n/a,19
27-Dec-15,n/a,16
28-Dec-15,n/a,15
29-Dec-15,n/a,n/a
30-Dec-15,n/a,18
31-Dec-15,n/a,n/a
01-Jan-16,n/a,20
03-Jan-16,n/a,21
04-Jan-16,n/a,16
05-Jan-16,n/a,14
06-Jan-16,n/a,12
07-Jan-16,n/a,n/a
08-Jan-16,n/a,n/a
09-Jan-16,n/a,11
10-Jan-16,n/a,n/a
11-Jan-16,n/a,n/a
12-Jan-16,n/a,n/a
13-Jan-16,n/a,n/a
14-Jan-16,n/a,n/a
15-Jan-16,n/a,19
16-Jan-16,n/a,n/a
17-Jan-16,n/a,n/a
18-Jan-16,n/a,16
19-Jan-16,n/a,13
20-Jan-16,n/a,14
21-Jan-16,n/a,n/a
22-Jan-16,n/a,n/a
23-Jan-16,n/a,n/a
24-Jan-16,n/a,20
25-Jan-16,n/a,16
26-Jan-16,n/a,n/a
27-Jan-16,n/a,n/a
28-Jan-16,n/a,19
29-Jan-16,n/a,15
30-Jan-16,n/a,n/a
31-Jan-16,n/a,n/a
01-Feb-16,n/a,22
20-Feb-16,n/a,16
21-Feb-16,n/a,19
22-Feb-16,n/a,15
23-Feb-16,n/a,14
24-Feb-16,n/a,n/a
25-Feb-16,n/a,n/a
26-Feb-16,n/a,n/a
27-Feb-16,n/a,13
28-Feb-16,n/a,19
29-Feb-16,n/a,14
01-Mar-16,n/a,14
03-Mar-16,n/a,10
04-Mar-16,n/a,11
05-Mar-16,n/a,13
06-Mar-16,n/a,9
07-Mar-16,n/a,n/a
08-Mar-16,n/a,n/a
09-Mar-16,n/a,n/a
10-Mar-16,n/a,n/a
11-Mar-16,n/a,n/a
12-Mar-16,n/a,n/a
13-Mar-16,n/a,8
14-Mar-16,n/a,n/a
15-Mar-16,n/a,7
16-Mar-16,n/a,n/a
17-Mar-16,n/a,10
18-Mar-16,n/a,n/a
19-Mar-16,n/a,n/a
20-Mar-16,n/a,18
21-Mar-16,n/a,9
22-Mar-16,n/a,6
23-Mar-16,n/a,11
24-Mar-16,n/a,14
25-Mar-16,n/a,n/a
26-Mar-16,n/a,n/a
27-Mar-16,n/a,n/a
28-Mar-16,n/a,20
29-Mar-16,n/a,12
30-Mar-16,n/a,15
31-Mar-16,n/a,10
01-Apr-16,n/a,9
02-Apr-16,n/a,n/a
03-Apr-16,n/a,n/a
04-Apr-16,n/a,13
05-Apr-16,n/a,12
06-Apr-16,n/a,9
07-Apr-16,n/a,11
08-Apr-16,n/a,11
09-Apr-16,n/a,18
10-Apr-16,n/a,22
11-Apr-16,n/a,17
12-Apr-16,n/a,12
13-Apr-16,n/a,n/a
14-Apr-16,n/a,n/a
15-Apr-16,n/a,n/a
16-Apr-16,n/a,n/a
17-Apr-16,n/a,n/a
18-Apr-16,n/a,17
19-Apr-16,n/a,11
20-Apr-16,n/a,8
21-Apr-16,n/a,n/a
22-Apr-16,n/a,n/a
23-Apr-16,n/a,10
24-Apr-16,n/a,9
25-Apr-16,n/a,8
26-Apr-16,n/a,n/a
27-Apr-16,n/a,n/a
28-Apr-16,n/a,7
29-Apr-16,n/a,n/a
30-Apr-16,n/a,6
01-May-16,n/a,n/a
03-May-16,n/a,n/a
04-May-16,n/a,n/a
05-May-16,n/a,n/a
06-May-16,n/a,6
07-May-16,n/a,n/a
08-May-16,n/a,10
09-May-16,n/a,10
10-May-16,n/a,16
11-May-16,n/a,n/a
12-May-16,n/a,8
13-May-16,n/a,13
14-May-16,n/a,n/a
15-May-16,n/a,n/a
16-May-16,n/a,6
17-May-16,n/a,9
18-May-16,n/a,13
19-May-16,n/a,n/a
20-May-16,n/a,10
21-May-16,n/a,8
22-May-16,n/a,9
23-May-16,n/a,7
24-May-16,n/a,10
25-May-16,n/a,n/a
26-May-16,n/a,14
27-May-16,n/a,n/a
28-May-16,n/a,n/a
29-May-16,n/a,n/a
30-May-16,n/a,9
31-May-16,n/a,6
01-Jun-16,n/a,n/a
